gene_symbol,log2_tpm_plus1
A1BG,0.11629422
A1CF,0.38861167
A2M,0.14520659
A2ML1,0.010570758
A3GALT2,0.101110816
A4GALT,3.4459014
A4GNT,0.0
AAAS,5.8751116
AACS,3.3258584
AADAC,2.8620307
AADACL2,0.008876948
AADACL3,0.0
AADACL4,0.0
AADAT,4.3438697
AAGAB,6.206891
AAK1,3.3385885
AAMDC,2.7103248
AAMP,7.005939
AANAT,0.040366445
AAR2,5.125895
AARD,0.0
AARS1,6.665677
AARS2,3.0209591
AARSD1,6.179143
AASDH,2.8395505
AASDHPPT,6.233004
AASS,1.8251181
AATF,6.5407343
AATK,0.9441328
ABAT,1.4113287
ABCA1,0.14876755
ABCA10,0.13458896
ABCA12,0.18888828
ABCA13,0.0
ABCA2,5.243848
ABCA3,1.0442612
ABCA4,0.051679753
ABCA5,2.3235314
ABCA6,0.0
ABCA7,4.1732874
ABCA8,0.018101431
ABCA9,0.17142975
ABCB1,1.3508762
ABCB10,4.6651597
ABCB11,0.004801945
ABCB4,0.04184573
ABCB5,0.011863422
ABCB6,4.129258
ABCB7,4.530277
ABCB8,4.958676
ABCB9,3.2058742
ABCC1,5.554644
ABCC10,3.6844485
ABCC11,0.32228008
ABCC12,0.0
ABCC2,5.097307
ABCC3,3.5458324
ABCC4,4.5095057
ABCC5,3.7065196
ABCC6,1.1881794
ABCC8,0.054735973
ABCC9,0.039436027
ABCD1,2.026315
ABCD2,0.05173125
ABCD3,5.7343683
ABCD4,5.0076036
ABCE1,8.023433
ABCF1,5.6091876
ABCF2,6.266215
ABCF3,6.115364
ABCG1,0.32488546
ABCG2,1.2891911
ABCG4,1.3428506
ABCG5,0.04156261
ABCG8,0.021304889
ABHD1,0.124099135
ABHD10,7.8232846
ABHD11,5.7344604
ABHD12,4.7476344
ABHD12B,0.4613431
ABHD13,3.1084425
ABHD14A,3.024981
ABHD14B,5.5391836
ABHD15,2.8018892
ABHD16A,4.5104427
ABHD16B,0.8138374
ABHD17A,4.751362
ABHD17B,4.153797
ABHD17C,4.7212415
ABHD18,2.946162
ABHD2,4.1194725
ABHD3,5.278111
ABHD4,2.591136
ABHD5,4.6185675
ABHD6,3.452034
ABHD8,1.2723337
ABI1,4.679694
ABI2,5.2431817
ABI3,0.07785277
ABI3BP,0.21484348
ABITRAM,4.4278946
ABL1,4.838624
ABL2,3.840715
ABLIM1,6.9647107
ABLIM2,0.9868747
ABLIM3,3.0543222
ABO,0.5017927
ABR,5.136339
ABRA,0.013948138
ABRACL,6.5142183
ABRAXAS1,3.9014945
ABRAXAS2,4.8770523
ABT1,4.8211694
ABTB1,2.2204785
ABTB2,2.504956
ABTB3,2.2533903
ACAA1,5.228334
ACAA2,4.3626804
ACACA,6.252238
ACACB,2.0187979
ACAD10,3.594835
ACAD11,3.155696
ACAD8,4.5216603
ACAD9,5.1328278
ACADL,0.0
ACADM,5.8254166
ACADS,3.325903
ACADSB,4.143859
ACADVL,7.9262843
ACAN,0.012767455
ACAP1,0.9335009
ACAP2,4.554153
ACAP3,3.5639513
ACAT1,6.7457213
ACAT2,6.047689
ACBD3,4.82755
ACBD4,1.3202593
ACBD5,4.2054863
ACBD6,5.203628
ACBD7,1.5130359
ACCS,2.294953
ACCSL,0.06914808
