gene,n_cra_sites
PLEC,161
MACF1,89
FLNB,81
MYOF,67
SYNE2,65
RNF213,61
UBR4,58
HUWE1,51
PRKDC,47
ZMYND8,46
EIF4G1,46
ADAR,45
GOLGB1,44
NR3C1,43
ZNF185,43
ZC3H14,41
MYH10,41
ITPR1,41
FLNA,40
IPO5,39
POGZ,39
ATRX,39
MSH6,38
DSP,38
FLII,37
EZH2,37
MMS19,36
ANKRD17,36
SMPD4,36
DST,35
ELP2,35
DCTN1,35
DHX30,35
POLR1B,35
NUP98,35
DYSF,34
UTRN,34
CNBP,34
HSPH1,33
MKI67,33
NVL,32
CTNND1,32
RRP12,32
TRIP12,32
TRRAP,31
CCT7,31
ANK3,31
PARP14,30
OPA1,30
CASK,29
RAD50,29
DNM1L,29
SVIL,29
CSDE1,28
PDXDC1,28
OGT,28
ARAP1,28
ANKRD28,28
TBC1D4,28
FLNC,28
PALLD,27
HK1,27
FDXR,27
SEC31A,27
TLE3,27
RBPJ,27
MYO1C,27
GLG1,27
NDUFS1,26
AKAP9,26
COPA,26
PRMT5,26
TRIOBP,25
ARHGEF7,25
MDN1,25
RANBP2,25
TP53BP1,25
DYNC1H1,25
RAI14,25
ZMYM4,24
BPTF,24
CDC42BPA,24
UNC45A,24
AP3D1,24
PCID2,24
TASOR,24
GNAI2,24
SRRT,24
WAPL,24
CAND1,24
PTPRS,24
MYH9,23
MARK2,23
LIMCH1,23
EFTUD2,23
PTK7,23
ELAC2,23
LARP4,23
BIRC6,22
FNDC3A,22
DIAPH3,22
LAS1L,22
SART3,22
PHF3,22
USP7,22
TOP2A,22
DNMT1,22
ACSF2,22
SPAG9,22
SPTAN1,21
SEPTIN9,21
FASN,21
UBE3A,21
ATP2A2,21
RAI1,21
GCN1,21
GBF1,21
TANC1,21
AGL,21
SMCHD1,21
AHCTF1,21
ACACA,20
KIF2A,20
ERBB2,20
ARHGEF2,20
MYCBP2,20
NAE1,20
CAMK2G,20
CAST,20
GTF3C1,20
SMAD3,20
CDK11B,20
SEC13,20
AGRN,20
CNOT1,20
DDX1,20
DHX40,20
CORO7,19
CLPB,19
TACC1,19
NSUN2,19
ATP2C1,19
EML4,19
RABGAP1L,19
EPB41L1,19
EP400,19
SPTBN1,19
MLST8,19
MCMBP,19
SPATS2L,19
KDM2A,19
HELZ2,19
PDIA6,19
PLS3,19
ANLN,19
HNRNPLL,19
RSF1,19
ITPR3,19
CDC16,19
STIP1,19
ITGAV,19
APAF1,19
AKAP12,18
MYH14,18
RCHY1,18
LRPPRC,18
LIMS1,18
LIG3,18
LSS,18
LPIN1,18
IGF2R,18
CLTC,18
HNRNPUL1,18
SEC24D,18
OGDH,18
EIF4G3,18
RTKN,18
CHD8,18
ANKFY1,18
SNRNP200,18
RASA1,18
GPS1,18
LONP1,18
MOB4,18
CAD,18
GOLGA4,18
TOP2B,18
THBS1,18
RAB3GAP1,18
PTPRD,18
POLR1A,18
BAZ1B,18
CORO1C,18
USP16,18
USP15,18
ECT2,18
DOCK7,18
OGA,18
AP2B1,18
AP2A2,18
OSBPL8,18
PARG,18
DIAPH1,17
PNPLA6,17
WDHD1,17
DLG5,17
LARS1,17
EZH1,17
INTS3,17
TRAF2,17
PITRM1,17
PDE4D,17
MYLK,17
PPP1CA,17
TNKS1BP1,17
TLN1,17
VARS2,17
USP9X,17
ALDH9A1,17
NUMB,17
UBE4B,17
RABGAP1,17
ENOSF1,17
TNPO1,17
USP48,16
ABR,16
VPS13C,16
VARS1,16
CARS1,16
TES,16
GMPS,16
UBA6,16
MICAL2,16
PTBP3,16
PTPRK,16
TNPO3,16
C2CD5,16
MYO18A,16
NUP188,16
TAX1BP1,16
CLASP1,16
CWF19L1,16
NUP160,16
NUP155,16
KDM5C,16
KIF21A,16
KMT2A,16
HARS1,16
SYNE1,16
LDLR,16
SMG1,16
GPT2,16
LTN1,16
CCT5,16
IFI16,16
RPS6KA1,16
ABCB8,16
BOD1L1,16
PBRM1,16
DMD,16
DDX17,15
CUL4B,15
NPEPL1,15
ATP1A3,15
PPA2,15
SEC24B,15
PARD3,15
PPP6R3,15
SHMT2,15
ATAD2,15
PRRC2C,15
PSMD2,15
PRMT1,15
PTPN6,15
PCM1,15
CENPF,15
MIA2,15
HK2,15
G6PD,15
CKAP5,15
NUP205,15
WDR1,15
PDCD11,15
TBCD,15
TARS1,15
BRCC3,15
BRCA1,15
CCT3,15
LRP1,15
MBD1,15
SON,15
UGDH,15
UBA1,15
FARSB,15
AFDN,15
RTN4,15
FDFT1,15
USP14,15
NUMA1,15
GTF2I,15
PKN2,15
PFKFB3,15
PAXIP1,15
DOCK9,15
ACOT7,15
SRPK1,15
CAPN2,14
PARN,14
CALCOCO2,14
ATP1A1,14
NIBAN2,14
PRPF6,14
ATM,14
DHX36,14
ZC3HAV1,14
ADAM15,14
HNRNPU,14
HNRNPR,14
HNRNPL,14
CELF1,14
SP100,14
IMPDH1,14
POLR2B,14
PFKM,14
ATP13A1,14
UBE3C,14
CDK5RAP1,14
GLYR1,14
GNL3,14
GSPT1,14
HDLBP,14
LIG1,14
CCT4,14
CASP1,14
RARS1,14
MCM3,14
METAP2,14
EPRS1,14
COMT,14
CASP8,14
ARHGEF12,14
CNOT10,14
COPB2,14
UACA,14
UBR1,14
FAM120A,14
TUBA4A,14
GRB7,14
GRB10,14
SUPT6H,14
SUN1,14
KIDINS220,14
KLC4,14
GBA,14
NUP85,14
DDX21,14
PI4KA,14
PCK2,14
WDR11,14
VWA8,14
ACIN1,14
ACTN4,13
PDHA1,13
SMAD2,13
USP24,13
ITPR2,13
BPNT1,13
EGFR,13
COPG1,13
COQ8A,13
FLYWCH1,13
ORC3,13
PKM,13
EIF3D,13
HERC4,13
KIF2C,13
CDK11A,13
LRBA,13
HECTD1,13
ITGB4,13
DBN1,13
FBXL20,13
TPI1,13
PSMD6,13
FLAD1,13
ABCC1,13
PPP2R1B,13
BAZ1A,13
DDX24,13
AP1B1,13
NAT10,13
NAV2,13
SP110,13
XRN2,13
SHC1,13
SORT1,13
EPPK1,13
ESYT2,13
THOC2,13
AKAP13,13
INTS4,13
ACSL4,12
WIPI2,12
ACOT9,12
STRBP,12
LIMK1,12
CHEK2,12
AMPD2,12
KNL1,12
KDM2B,12
VDAC2,12
SRCAP,12
KIF15,12
ISYNA1,12
GNAS,12
INPP5D,12
ILK,12
RIPOR1,12
KLC1,12
DSTN,12
PFKP,12
PDLIM7,12
LAP3,12
ITPRID2,12
SYTL2,12
TBC1D2,12
GAPVD1,12
CLASP2,12
USP10,12
DYNC1I2,12
SCFD1,12
GEMIN5,12
DDX19B,12
DDX5,12
PLCB3,12
PNKP,12
OSBPL9,12
NUP93,12
ZNF106,12
ZMIZ2,12
DIS3,12
PHF6,12
DCAF1,12
DHX9,12
ATF7IP,12
NLRP2,12
NIT1,12
CTNNA1,12
PPP6R2,12
ZC3H7A,12
MYO19,12
NBAS,12
NADSYN1,12
MSH2,12
CAMK2D,12
CAMSAP2,12
PRKRA,12
OGDHL,12
TNS3,12
THADA,12
PTPN12,12
FAM111B,12
TRIP11,12
U2SURP,12
UIMC1,12
TMLHE,12
UBA3,12
UBE2O,12
MADD,12
MAP7D3,12
SACS,12
AHCYL2,12
PTK2,12
QARS1,12
TRIO,12
TRMT1L,12
NKRF,12
ATIC,12
CUL2,12
ZMYM3,12
DDX58,12
ANO6,12
HSD17B4,12
HSP90AA1,12
SHTN1,12
IDH2,12
THOC6,12
TRPS1,12
CDYL,12
TUBA1A,12
RALGAPB,12
ERCC2,12
EHMT2,12
EEF2,11
WDR48,11
USP34,11
ZC3HC1,11
NUP107,11
ACLY,11
WDR59,11
PDCD6IP,11
ECPAS,11
MAP1B,11
LMNA,11
ARHGEF1,11
RPRD2,11
CCT8,11
HERC2,11
ANKHD1,11
ANKLE2,11
HCFC1,11
KDM1A,11
SRP68,11
KDM3B,11
KIF23,11
CHAF1A,11
APPL2,11
SDHA,11
UBA2,11
MCM3AP,11
MET,11
GNPAT,11
TMEM209,11
TP53,11
RAP1GDS1,11
EIF3C,11
INTS7,11
ITGA6,11
CDK5RAP2,11
AFAP1L2,11
TTC37,11
TXNIP,11
TXNRD2,11
FANCI,11
PSME4,11
GNE,11
CHTF18,11
SPTBN2,11
APBB2,11
FKBP8,11
FKBP9,11
FNDC3B,11
RXRB,11
TUBA1B,11
MTO1,11
BOP1,11
MKLN1,11
PRORP,11
PRKD2,11
PAICS,11
AP2A1,11
SHMT1,11
OSBPL1A,11
PPFIA2,11
POP1,11
PFKFB4,11
POLR2A,11
ACTN1,11
ZNF462,11
ACAD8,11
VAV2,11
ZNF638,11
ZNF598,11
ZNF618,11
ACADVL,11
AARS1,11
CSE1L,10
DDX3Y,10
BCAT1,10
VPS51,10
DICER1,10
PDLIM5,10
PFKL,10
PDS5A,10
CTR9,10
SMU1,10
PHKB,10
CYFIP1,10
POLD1,10
PPL,10
PPME1,10
NR2C2,10
PPP2R5C,10
PSMC2,10
NDRG3,10
NRDC,10
NSD2,10
PPFIBP1,10
NDUFV1,10
ODR4,10
PRPF4,10
PRKCD,10
INPPL1,10
STK39,10
HLTF,10
SOGA1,10
SRBD1,10
EPS15,10
ANXA7,10
AP1G1,10
SCP2,10
ALDOA,10
SMARCA1,10
TBC1D15,10
GFPT1,10
CASP5,10
PTCD3,10
NCAPG2,10
MYO5B,10
PREX1,10
MPP1,10
MON2,10
CHORDC1,10
GPATCH8,10
SPECC1,10
INTS1,10
EPB41,10
COPB1,10
EPS8L2,10
RAP1GAP,10
IARS2,10
ANXA6,10
RRP1B,10
SCAF11,10
RRBP1,10
ZNF687,10
STX16,10
HARS2,10
HBS1L,10
LENG8,10
ARHGEF10,10
KIAA0100,10
KLC2,10
LIMS2,10
LYN,10
CLK1,10
DCTN4,10
TXNDC5,10
ADK,10
KCNMA1,10
KPNB1,10
RGPD5,10
LARP1,10
LCP1,10
MAP1S,10
EEFSEC,10
LDHA,10
XRN1,10
XPO5,10
CRBN,10
GTF3C4,10
ST7,10
STAU2,10
PCCA,10
EDC4,10
USP47,10
PDCD4,10
DUS3L,10
ACSL5,10
URI1,10
DCAF6,10
DDX3X,10
ABCF1,10
DENND4C,10
CPSF4,10
ABCC3,10
TRAPPC9,10
MYBBP1A,10
CAP1,10
RIF1,10
UAP1L1,10
RGPD8,10
AIFM1,10
ARFGEF1,10
RNH1,10
MDC1,10
EXOC7,10
MCM5,10
MCRS1,10
TGM2,10
FECH,10
RANBP10,10
ASCC3,10
VPS35,10
NCOA4,10
SF3B3,10
PXN,10
POLR3E,9
DNAJC13,9
PIP5K1A,9
POLD3,9
DARS2,9
PIGT,9
NASP,9
NCAPD2,9
NCDN,9
MYO6,9
MYO1B,9
PRKACB,9
GNB2,9
NAV1,9
GLUD1,9
IPO4,9
TANGO2,9
TAF6,9
UBR5,9
TBL2,9
GMPR2,9
APP,9
INTS14,9
STRN,9
HSPG2,9
HSPBP1,9
ELMO3,9
NOL10,9
EML2,9
GPD2,9
COG4,9
NFS1,9
UBE2V1,9
VCL,9
MTA1,9
ERI3,9
PPP6C,9
ATP6V1A,9
HEATR1,9
SMARCA5,9
SMARCAD1,9
HKDC1,9
ANKS1B,9
COQ8B,9
DARS1,9
PHC2,9
PFAS,9
PCCB,9
ZC3H3,9
ZZEF1,9
CUL3,9
DNAJC7,9
PML,9
PAIP1,9
C12orf29,9
BZW1,9
ANAPC5,9
STXBP2,9
NF1,9
NUP153,9
NSF,9
PSMD1,9
BUB1B,9
NDOR1,9
NDRG1,9
NCOA7,9
BTAF1,9
BRF1,9
NFAT5,9
HIP1,9
ACAA1,9
ACAP3,9
ZNF512,9
BAZ2A,9
RHPN2,9
GAK,9
GART,9
RGPD4,9
FBXO38,9
ROCK2,9
ARID1A,9
MCM6,9
MDH1,9
RBM28,9
ESYT1,9
UPF1,9
ASMTL,9
MTREX,9
RB1CC1,9
RTN3,9
VPS13A,9
CASP7,9
PYGB,9
SEC16A,9
SH3GL1,9
IKBKG,9
SEC24C,9
RAB3IP,9
MATR3,9
MARK3,9
MICAL1,9
METTL3,9
PPP4R2,9
SDE2,9
SLC4A7,9
JUP,9
SAMHD1,9
CLUH,9
MLH1,9
MIB2,9
TRMT2A,9
TADA2B,9
AHNAK2,9
MAP7D1,9
FRMD8,9
CDK5RAP3,9
LNPEP,9
TPP2,9
EFL1,9
LEMD3,9
MAP4K3,9
IRF2BP2,9
AIMP2,9
DCAF5,9
URB1,9
XPO7,9
SSH3,9
GTF3C5,9
DHX57,9
STUB1,9
CREM,9
CTBP2,9
GTPBP4,9
CTPS1,9
ZMYND11,8
ZMIZ1,8
DHX29,8
DGLUCY,8
DDX39B,8
ZNHIT6,8
ABCF3,8
HDAC3,8
HACL1,8
STAG2,8
GSK3B,8
CREBBP,8
EEF1D,8
EEF1G,8
ECI2,8
URGCP,8
ACOX1,8
WWP2,8
EEF1AKNMT,8
XPNPEP1,8
XPO1,8
WNK1,8
WDR7,8
WDR41,8
YTHDC2,8
