Gene,Protein ID,log2fc_24h,log2fc_48h,mean_A,mean_C,mean_B
Spata5l1,A0A7N9VSG0,,,,,
Cul4b,A2A432,0.12331503283938833,-0.38276203141816734,317463720.0,345792544.0,243484460.0
Dhx8,A2A4P0,,,,,
Gpatch8,A2A6A1,,,,,
Cdc27,A2A6Q5,,,,,
Cdr2l,A2A6T1,,,,,
Osbpl9,A2A8Z1,,,,,
Prdm16,A2A935,0.3655321162790555,0.21001037057821703,5041809275.0,6495648925.0,5831843135.0
Med14,A2ABV5,,,,,
Ddi2,A2ADY9,,,110429844.0,,
Med12,A2AGH6,,,,,
Ckap5,A2AGT5,0.06942560127731537,-0.08747850950597036,1427080735.0,1497434145.0,1343120222.5
Virma,A2AIV2,,,,80404344.0,345790464.0
Map7d1,A2AJI0,-0.21136697042448258,0.23572977460041902,207644792.0,179346640.0,244502202.66666666
Ubr4,A2AN08,-0.09619525645195721,-0.51530645178357,172227756.0,161118528.0,120498168.0
Tpx2,A2APB8,-0.05063233902901655,0.35904486261103763,150776792.0,145576960.0,193382768.0
Ndufaf5,A2APY7,,,,,
Tubb1,A2AQ07,0.52770791498493,-0.13090070956391955,275984442.6666667,397869376.0,252045856.0
Ppig,A2AR02,,-0.017275265622437388,359139520.0,,354864720.0
Ttn,A2ASS6,0.05144690596402644,-0.09023321454542493,1117624030.0,1158197952.5,1049863475.0
Rabgap1,A2AWA9,,,,,
Las1l,A2BE28,,,,156533474.66666666,178561048.0
Trmt1l,A2RSY6,0.06911281262284535,,178078248.0,186816789.33333334,
Tbc1d8b,A3KGB4,,,,,
Mipep,A6H611,,,,,
Thada,A8C756,,,,,
Sec14l1,A8Y5H7,,,,,
Krt36,B1AQ75,,,,,
Usp36,B1AQJ2,-0.022493124993284437,0.20892571838023344,102853832.0,101262669.33333333,118881256.0
Slfn9,B1ARD6,0.7204121792654025,0.2533185223234987,309325512.0,509661016.0,368699216.0
Tomm5,B1AXP6,0.5127253135639874,0.6926509910255136,432919792.0,617665209.5,699706915.0
Usp24,B1AY13,,,,,
Thoc2,B1AZI6,0.5153865853568118,0.47999891709655296,197213496.0,281892456.0,275062068.0
Cad,B2RQC6,0.3025438911942079,0.03276694581713354,828161917.5,1021386332.5,847186622.5
Otud4,B2RRE7,,,,,
Otud7b,B2RUR8,,,,,
Plxnb2,B2RXS4,0.06493200213265278,0.4783059012388133,211006272.0,220720080.0,293954280.0
Rbm25,B2RY56,0.50168767228073,0.6972849765949107,432225128.0,611974110.0,700831647.5
Xpnpep3,B7ZMP1,,,,,
Dnaaf5,B9EJR8,0.2306882721199147,-0.45698596293336063,229066380.0,268785256.0,166876380.0
H2ac4,C0HKE1,-0.36650787775593013,-0.35247315039827626,6237121025.0,4837871250.0,4885164362.5
Safb,D3YXK2,0.22731988385476234,0.3714710308806786,662649357.5,775735890.0,857250415.0
Ccdc78,D3Z5T1,,,,,
Gls,D3Z7P3,0.49491011423596615,0.6685989225587711,836410927.5,1178697840.0,1329499042.5
Gcn1,E9PVA8,0.2047226029383826,0.04061962622956746,742734190.0,855974960.0,763943327.5
Mki67,E9PVX6,-0.044042338837343945,-0.09594092053971198,359409320.0,348603120.0,336285576.0
Irf2bp2,E9Q1P8,0.8840443778229299,1.4787304404322923,122996053.33333333,226994352.0,342794144.0
Rnf213,E9Q555,0.07561159820832292,-0.12833048635521405,383426608.0,404057904.0,350793002.6666667
Nolc1,E9Q5C9,-0.10661220231958754,0.03102523475220751,2415002560.0,2242973407.5,2467499775.0
Kif23,E9Q5G3,0.5440876410889417,0.2476220911765683,179114304.0,261166200.0,212653212.0
Myo1e,E9Q634,,,,,
Ube4a,E9Q735,,,,,
