gene,n_sites,max_cr,n_engaged
AAAS,8,2.36073,0
AACS,2,2.14613,0
AAGAB,1,1.64748,0
AAK1,1,1.23371,0
AAMP,6,3.44228,0
AAR2,2,2.45989,0
AARS,8,3.53674,0
AARS2,2,1.5649,0
AARSD1,3,1.80935,0
AASDH,1,2.81211,0
AASDHPPT,1,2.38391,0
ABCA2,2,1.64866,0
ABCB6,1,1.40248,0
ABCB7,2,3.09814,0
ABCB8,6,4.46335,2
ABCC1,3,2.2876,0
ABCC10,2,2.06168,0
ABCC2,3,2.06904,0
ABCD1,1,1.67345,0
ABCD3,3,2.73967,0
ABCE1,7,5.03502,1
ABCF1,4,20.0,1
ABCF2,5,2.56764,0
ABCF3,3,2.91003,0
ABHD10,4,4.57256,2
ABHD12,3,3.0594,0
ABHD13,1,1.62831,0
ABHD15,1,1.28033,0
ABHD16A,3,2.17771,0
ABHD17B,2,2.40333,0
ABHD5,3,1.73365,0
ABHD6,3,1.84312,0
ABI1,2,2.32773,0
ABI2,1,1.46579,0
ABL1,2,1.50064,0
ABL2,1,2.44,0
ABR,3,2.55258,0
ABRACL,1,2.14852,0
ABTB1,2,8.00267,1
ACAA1,3,5.70519,1
ACAA2,1,2.99289,0
ACACA,9,3.01629,0
ACAD10,3,1.91289,0
ACAD8,2,2.04553,0
ACAD9,4,4.31407,1
ACADSB,1,2.36499,0
ACADVL,5,2.13077,0
ACAP2,8,2.22493,0
ACAP3,8,4.84242,1
ACAT1,4,17.2944,3
ACAT2,6,2.33847,0
ACBD3,2,4.75063,1
ACBD5,1,3.19017,0
ACBD6,5,2.32197,0
ACD,3,3.44344,0
ACIN1,4,11.2567,2
ACLY,6,4.35168,1
ACN9,1,2.66531,0
ACO1,2,2.08532,0
ACO2,3,2.40385,0
ACOT11,7,2.8351,0
ACOT7,3,2.00691,0
ACOT9,2,1.86172,0
ACOX1,3,2.45355,0
ACOX3,2,2.18823,0
ACP1,3,20.0,3
ACSF2,3,2.87753,0
ACSF3,3,2.91171,0
ACSL1,3,1.6897,0
ACSL3,9,3.02521,0
ACSL4,11,3.18943,0
ACSL5,7,3.44533,0
ACSS2,1,2.18072,0
ACTB,3,20.0,3
ACTL6A,2,20.0,1
ACTN1,7,20.0,1
ACTN4,2,2.10135,0
ACTR10,3,1.74505,0
ACTR1A,2,1.61066,0
ACTR2,3,2.49431,0
ACTR3,4,2.13665,0
ACTR3B,2,1.60577,0
ACTR5,3,6.12989,1
ACTR6,1,2.71441,0
ACTR8,7,2.69451,0
ACVR1,1,3.36945,0
