gene,D,chronos_hct116,pan_essentiality,CRA,CR,halflife_h,ZC,is_mito,E,L,R,F,Zc_dev,E_n,D_n,L_n,R_n,F_n,Zc_n,score,rank,apop_rank
IGF2R,0.0608114285714285,0.0872341067119128,0.0,18.0,20.0,,-0.0766092097593471,False,0.0872341067119128,18.0,20.0,0.0,0.03973317510089945,0.02026311716030117,0.02530704861747611,0.6,1.0,0.0,0.09924886358704202,0.25863349291268534,23,1
CASP8,0.0578514285714285,0.2288355837884712,0.0008278145695364,14.0,20.0,,-0.1362330734509643,True,0.22864615035818273,14.0,20.0,0.0,0.015239051986418867,0.05311092080372039,0.022740672113197986,0.4666666666666667,1.0,0.0,0.038053231618265106,0.24465813945598877,40,2
BCL2L2,0.0594285714285714,-0.3470893141068341,0.0397350993377483,3.0,20.0,,-0.0947255113024757,True,0.3332976857317281,3.0,20.0,0.0,0.056746614134907475,0.07741983393654626,0.024108085076867448,0.1,1.0,0.0,0.14175490263903265,0.20254612083597573,151,3
MGMT,0.1205203045685279,0.1131958131849602,0.0,3.0,20.0,,-0.1532091097308488,False,0.1131958131849602,3.0,20.0,0.0,0.03686672487060226,0.026293615090222298,0.07707578390660168,0.1,1.0,0.0,0.09208738111509428,0.2006151887548019,162,4
PDCD4,0.2865142857142857,-0.1848364924422641,0.0,10.0,2.46494,2.65,-0.0987544483985765,False,0.1848364924422641,10.0,2.46494,1.0,0.017587936461670048,0.04293462319991004,0.22099573426608074,0.3333333333333333,0.123247,1.0,0.043921638060611556,0.19986223914282783,170,5
FDXR,0.11776,-0.479920522336399,0.6605960264900662,27.0,3.54252,,-0.1405990016638935,True,0.16288693224993675,27.0,3.54252,0.0,0.010873123773489674,0.03783608403262039,0.07468254715345252,0.9,0.177126,0.0,0.02714548305867024,0.1966817635087554,187,6
DNM1L,0.0908268733850129,0.0430070473402962,0.5960264900662252,29.0,3.6338,,-0.1660649819494584,True,0.01737370786594747,29.0,3.6338,0.0,0.01459285651207523,0.004035640316225807,0.05133101224417866,0.9666666666666667,0.18169,0.0,0.03643878964608263,0.19068543525042544,231,7
CDKN1A,0.3315999999999999,0.257312078766393,0.0,0.0,2.90096,1.52,0.0,False,0.257312078766393,0.0,2.90096,1.0,0.11634238486024655,0.05976956714903852,0.2600859092057609,0.0,0.145048,1.0,0.2906477956468008,0.18224623268877985,280,8
TOP2A,0.1922971428571428,-2.216710653856963,0.995860927152318,22.0,2.61687,,-0.155317224447603,False,0.009175126878546772,22.0,2.61687,0.0,0.03897483958735644,0.002131238318455006,0.13930767287122042,0.7333333333333333,0.1308435,0.0,0.09735425316238074,0.17692591101502164,315,9
CCND1,0.1652114285714285,-1.9105286057010664,0.7284768211920529,2.0,3.96241,0.47,-0.1675675675675675,False,0.5187528002234685,2.0,3.96241,1.0,0.051225182707320946,0.12049815335275255,0.11582384153863684,0.06666666666666667,0.1981205,1.0,0.1279602677380727,0.16701268685432044,365,10
APP,0.1421714285714286,0.1466906801179107,0.0008278145695364,9.0,3.08317,1.09,-0.0604133545310015,False,0.14656924743569388,9.0,3.08317,1.0,0.055929030329245046,0.03404574133709856,0.09584772172155316,0.3,0.1541585,1.0,0.1397122674550292,0.164077427290347,384,11
BRCA1,0.1374742857142857,-0.656684626539237,0.4478476821192053,15.0,2.91317,12.36,-0.0458015267175572,False,0.3625899386603238,15.0,2.91317,0.0,0.07054085814268934,0.08422396566155485,0.09177520919932028,0.5,0.1456585,0.0,0.17621816860868386,0.1584594358886967,428,12
ERBB2,0.0861028571428571,-0.3805083110393185,0.1771523178807947,20.0,2.53931,,-0.1045169798878997,False,0.31310038176579685,20.0,2.53931,0.0,0.011825404972346854,0.07272831645548297,0.047235199984145944,0.6666666666666666,0.1269655,0.0,0.029524643541520842,0.1565101121089647,441,13
VDAC2,0.0571885714285714,-0.3826744417462107,0.0637417218543046,12.0,7.7346,,-0.1048097631012204,True,0.3582821139196724,12.0,7.7346,0.0,0.04666236233616278,0.0832233254221341,0.022165962316873195,0.4,0.38673,0.0,0.11656060771072682,0.15545431670723853,446,14
SPTAN1,0.0405485714285714,-0.2505638778901329,0.0182119205298013,21.0,3.1255,,-0.0712501007495768,False,0.246000628458359,21.0,3.1255,0.0,0.04509228411066975,0.05714209434643897,0.0077387646712016025,0.7,0.156275,0.0,0.11263795537488307,0.15353740547403633,458,15
CDC25B,0.2565198237885462,-0.2298694854285898,0.1829470198675496,0.0,2.55623,0.55,-0.0798304486047333,False,0.18781554811094217,0.0,2.55623,1.0,0.036511936255513244,0.04362661118851679,0.19498996320368803,0.0,0.1278115,1.0,0.09120098426740048,0.14531674653103147,533,16
DAP3,0.0522171428571428,-0.4141543330254265,0.7698675496688742,6.0,12.2743,,-0.1571498291849682,True,0.09531035147439451,6.0,12.2743,0.0,0.005677703747585028,0.02213910236844783,0.017855638844436948,0.2,0.613715,0.0,0.01416534858549475,0.13476393979314016,634,17
SQSTM1,0.2157828571428571,0.1128653477772416,0.0140728476821192,8.0,3.76154,,-0.0319767441860465,False,0.11127701092938305,8.0,3.76154,0.0,0.08436564067420005,0.025847907369036905,0.15967023548238465,0.26666666666666666,0.188077,0.0,0.21075773142106116,0.13440487942647952,642,18
PRF1,0.2578472222222221,0.1371925933667986,0.0008278145695364,0.0,0.0,2.03,-0.059347181008902,False,0.13707902333917707,0.0,0.0,1.0,0.056995203851344545,0.031841310868402396,0.19614084298476958,0.0,0.0,1.0,0.14237597426209933,0.12551344486905655,776,19
MCL1,0.2194067796610169,-0.4515380726967425,0.6365894039735099,1.0,0.0,0.78,-0.1182926829268292,True,0.1640937201273758,1.0,0.0,1.0,0.033179442510553964,0.03811640196180989,0.16281224548371226,0.03333333333333333,0.0,1.0,0.08287514791058816,0.11942235162918606,903,20
LMNA,0.0882971428571428,-0.1298397304261546,0.1175496688741721,11.0,3.57493,,-0.0216491563196434,False,0.11457711310784836,11.0,3.57493,0.0,0.09469322854060315,0.026614469435225583,0.04913768758577294,0.36666666666666664,0.1787465,0.0,0.2365599723603981,0.11636562072431945,968,21
CREBBP,0.0517942857142857,-0.605276255990202,0.1084437086092715,8.0,3.38579,19.74,-0.0534451139638459,False,0.5396378540574897,8.0,3.38579,0.0,0.06289727089640065,0.12534942436003824,0.017489013629540112,0.26666666666666666,0.1692895,0.0,0.15712158164948017,0.11610103547934753,979,22
GPX4,0.0914742857142857,0.1295738234551779,0.6043046357615894,8.0,7.24327,,-0.1561866125760649,True,0.05127176126786012,8.0,7.24327,0.0,0.004714487138681722,0.011909627377932034,0.05189233109229545,0.26666666666666666,0.36216349999999997,0.0,0.011758867290811749,0.11405305590560881,1018,23
