pathway,n_genes,E_raw,D_raw,L_raw,R_raw,F_raw,Zc_raw,E_n,D_n,L_n,R_n,F_n,Zc_n,score,rank
Cholesterol Homeostasis,62,0.1549221368879764,0.15597862867289367,0.7258064516129032,0.16666666666666666,0.0967741935483871,0.049411147617355974,0.6070631038306655,0.8252891131214483,0.7100554435483871,0.09976525821596242,0.4773060029282577,0.44639193300101615,0.5973636671467502,1
Coagulation,63,0.1551989180837897,0.15376117487304852,0.6190476190476191,0.21875,0.047619047619047616,0.04327554695911089,0.6102974962129258,0.8040025960414118,0.46484375,0.20796654929577466,0.2118106393362616,0.2846677031005154,0.5500354896925064,2
Myogenesis,109,0.1280860603782562,0.17417856803011686,0.6880733944954128,0.22916666666666666,0.06422018348623854,0.039418326457031194,0.29346375985157985,1.0,0.6233873279816513,0.2296068075117371,0.30147621798057683,0.18299778519003582,0.5402119484380128,3
Tgf Beta Signaling,42,0.16021260079809657,0.1268875638722774,0.6904761904761905,0.20689655172413793,0.14285714285714285,0.04090135430059689,0.6688860760135695,0.546028527039334,0.62890625,0.18334142787761049,0.726207906295754,0.22208793288394751,0.5337263245564977,4
G2M Checkpoint,186,0.14961008675992346,0.11969846363188974,0.7150537634408602,0.2323943661971831,0.1935483870967742,0.04996838805069679,0.5449878807727033,0.4770165345153891,0.6853578629032259,0.23631223963499307,1.0,0.4610798641378579,0.5179058331740535,5
Tnfa Signaling Via Nfkb,113,0.13425490978430255,0.1638074411760963,0.48672566371681414,0.24193548387096775,0.18584070796460178,0.04830995953227575,0.3655513143098927,0.9004420435128115,0.16091675884955745,0.256133575647433,0.958369504658003,0.4173664463445649,0.5111423550714882,6
Notch Signaling,21,0.1463781582659904,0.11870004996969778,0.7142857142857143,0.2,0.14285714285714285,0.07041429613986587,0.5072204129717521,0.4674322313498958,0.68359375,0.16901408450704228,0.726207906295754,1.0,0.5065973637873384,7
Androgen Response,76,0.1434266164784254,0.13581463546739544,0.6710526315789473,0.2558139534883721,0.09210526315789473,0.04744388604003052,0.4727294706027368,0.6317242299204759,0.5842927631578947,0.2849656075990829,0.4520883100870771,0.39453818936170915,0.5040561907429497,8
Apoptosis,105,0.1443408532997206,0.1334305008555876,0.6761904761904762,0.21212121212121213,0.10476190476190476,0.047825849784848225,0.48341300205323984,0.6088376551747483,0.5960937500000001,0.19419547588561675,0.5204489995119571,0.4046061184726991,0.49247133695047174,9
Epithelial Mesenchymal Transition,102,0.13031396187440253,0.15240309509736338,0.5686274509803921,0.3404255319148936,0.049019607843137254,0.05166163760818271,0.31949843177496806,0.7909656667745235,0.34903492647058815,0.46074318249925084,0.21937530502684238,0.5057111066138142,0.49086026649235615,10
Mtorc1 Signaling,171,0.1529672068783866,0.10876540472996715,0.7777777777777778,0.2248062015503876,0.05847953216374269,0.04954279671977169,0.5842183050274452,0.37206429376562805,0.8294270833333334,0.22054809477017145,0.2704699767965546,0.44986198440937536,0.4803976544137442,11
Uv Response Dn,105,0.14574150434417474,0.12880147859546387,0.6476190476190476,0.26229508196721313,0.047619047619047616,0.047621504074342826,0.49978064240205694,0.5644012112628732,0.53046875,0.29842992380512584,0.2118106393362616,0.3992199053689264,0.47414088440550733,12
