gene,chronos_hct116,pan_essentiality,E,D,L,R,halflife_h,F,ZC,Zc_dev,CRA,CR,is_mito,E_n,D_n,L_n,R_n,F_n,Zc_n,score,rank
SNRPD3,-5.781737519662418,0.3170529801324503,3.9486204087098464,0.04864,2.0,11.3064,,0.0,-0.1139028475711892,0.002439537289057353,2.0,11.3064,False,0.9172026971913435,0.014754187702201278,0.06666666666666667,0.56532,0.0,0.006075177652510954,0.374688824350689,1
PRKDC,-0.9079231906853952,0.0554635761589403,0.8575665236523478,0.0456457142857142,30.0,20.0,,0.0,-0.1806335013792447,0.06429111651899815,47.0,20.0,False,0.19919927648146232,0.012158084829147658,1.0,1.0,0.0,0.16060393794135902,0.37143740529025093,2
MKI67,-0.1590978124134917,0.0397350993377483,0.15277604503282316,0.1229371428571428,30.0,20.0,,0.0,-0.0999224405377456,0.01641994432250095,33.0,20.0,False,0.035487483238763856,0.07917122883854122,1.0,1.0,0.0,0.04100354963764772,0.33644779110507395,3
EZH2,0.0825709868438288,0.0687086092715231,0.07689764917161208,0.0811428571428571,30.0,20.0,,0.0,-0.0486223662884927,0.06772001857175385,37.0,20.0,False,0.017862119912134367,0.04293478530130152,1.0,1.0,0.0,0.16917063890455336,0.3266976035092584,4
RPL15,-5.836725821617672,0.2624172185430463,4.305068466110386,0.0812685714285714,1.0,0.0,,0.0,-0.0909935004642525,0.025348884395994045,1.0,0.0,False,1.0,0.043043781986811414,0.03333333333333333,0.0,0.0,0.06331143663792642,0.32107870642793973,5
CKMT2,-0.02627508985795,0.0,0.02627508985795,1.185,2.0,0.0,,0.0,-0.1303520456707897,0.02112007976659347,2.0,0.0,True,0.0061032919835742935,1.0,0.06666666666666667,0.0,0.0,0.05274627492304682,0.3144683013412246,6
TRRAP,-1.2772598615947783,0.9950331125827816,0.006344005935073222,0.038,30.0,20.0,,0.0,-0.1879488616105536,0.07160647675030705,31.0,20.0,False,0.001473613250291698,0.005529104592228574,1.0,1.0,0.0,0.17888048902840537,0.31104483980417635,7
UQCRH,-3.191916152127974,0.0041390728476821,3.178704578650623,0.1276685714285714,2.0,4.0016,,0.0,0.0222717149220489,0.17374384035943208,2.0,4.0016,True,0.7383633044801657,0.08327346772954952,0.06666666666666667,0.20007999999999998,0.0,0.43405845496220263,0.3082059544110247,8
NVL,-1.699115880340056,0.9875827814569536,0.021098293216143232,0.0465714285714285,30.0,20.0,,0.0,-0.1351351351351351,0.01879275027488854,32.0,20.0,False,0.004900803177052713,0.012960696786084072,1.0,1.0,0.0,0.04693172102459526,0.3077050360401708,9
GNAI2,-0.2503313132374562,0.0182119205298013,0.24577229925465488,0.0766628571428571,24.0,20.0,,0.0,-0.1176470588235294,0.0013046739632828486,24.0,20.0,False,0.05708905704738054,0.039050539781313016,0.8,1.0,0.0,0.0032398576006613883,0.2990038719286411,10
MYO1C,-0.0656877480877996,0.0057947019867549,0.06530710716344977,0.0491885714285714,27.0,20.0,,0.0,-0.1515874472380253,0.03524506237777876,27.0,20.0,False,0.015169818477348052,0.015229809602608007,0.9,1.0,0.0,0.08803585166761928,0.2985216810073678,11
DNMT1,-0.7165175892706583,0.7077814569536424,0.20937972600376029,0.1049714285714285,22.0,20.0,,0.0,-0.086815517026319,0.02952686783392755,22.0,20.0,False,0.04863563208158083,0.06359461160021995,0.7333333333333333,1.0,0.0,0.07374962769479561,0.29735655448928,12
CAST,-0.1388386315540739,0.0314569536423841,0.13447119115750533,0.0636342857142857,20.0,20.0,,0.0,-0.0777947932618683,0.03854759159837824,20.0,256.89,False,0.03123555228356207,0.027754519646652587,0.6666666666666666,1.0,0.0,0.09628682525035834,0.2725113628415823,13
PARG,0.2879063313969067,0.0182119205298013,0.2826630041694796,0.0465485714285714,18.0,20.0,,0.0,-0.0496585971446306,0.06668378771561595,18.0,20.0,False,0.06565819019943825,0.012940879206900492,0.6,1.0,0.0,0.16658174026096745,0.27190880783495,14
KDM2A,-0.3123132392265442,0.6415562913907285,0.11194671571613712,0.0857828571428571,19.0,20.0,,0.0,-0.0973588814085965,0.01898350345165005,19.0,20.0,False,0.026003469305397733,0.04695775387557533,0.6333333333333333,1.0,0.0,0.04740829498265916,0.2692587817034249,15
FN1,0.0718338278404129,0.0008278145695364,0.07177436275114103,0.3058057142857143,7.0,20.0,,0.0,-0.061902365374937,0.05444001948530955,7.0,20.0,False,0.016672060692216797,0.23772177109705167,0.23333333333333334,1.0,0.0,0.1359921522593509,0.2681177571497481,16
TPX2,-1.2499933648755936,0.9925496688741722,0.009312864473410893,0.19064,4.0,20.0,2.41,1.0,-0.1518920349298756,0.035549650069629055,4.0,20.0,False,0.002163232605177365,0.1378708983804084,0.13333333333333333,1.0,1.0,0.08879682752315707,0.26645008067183357,17
DTL,-2.354452044634394,1.0,0.0,0.1771428571428571,5.0,20.0,1.79,1.0,-0.0876080691642651,0.02873431569598145,5.0,20.0,False,0.0,0.1261686178724838,0.16666666666666666,1.0,1.0,0.07176953113354562,0.26643906191842237,18
SEMG1,-0.0280430875399819,0.0,0.0280430875399819,0.9633333333333332,0.0,0.0,,0.0,0.0486486486486486,0.16499103350889516,0.0,0.0,False,0.006513970163480055,0.8078107685422353,0.0,0.0,0.0,0.412190615717017,0.26490695239756545,19
GTSE1,-0.2074775781476822,0.1614238410596026,0.17398575054933946,0.1838514285714285,2.0,20.0,3.3,1.0,-0.0956853536835926,0.020657031176653948,2.0,20.0,False,0.040414165748805145,0.1319850773628747,0.06666666666666667,1.0,1.0,0.05158940349878065,0.264299243108443,20
ANKFY1,-0.2094558609991972,0.0132450331125827,0.2066816111846383,0.0490971428571428,18.0,20.0,,0.0,-0.1116642958748222,0.00467808898542435,18.0,20.0,False,0.04800890225362069,0.01515053928587352,0.6,1.0,0.0,0.011667930865748855,0.2595312290051357,21
PXN,-0.5159956811778992,0.2814569536423841,0.3707651086609408,0.1276538461538461,10.0,20.0,,0.0,-0.0516631280962491,0.06467925676399744,10.0,20.0,False,0.08612292965364282,0.08326070063526773,0.3333333333333333,1.0,0.0,0.16157365984053595,0.25889377207869996,22
IGF2R,0.0872341067119128,0.0,0.0872341067119128,0.0608114285714285,18.0,20.0,,0.0,-0.0766092097593471,0.03973317510089945,18.0,20.0,False,0.02026311716030117,0.02530704861747611,0.6,1.0,0.0,0.09924886358704202,0.25863349291268534,23
USP16,-0.1737754491897997,0.0016556291390728,0.1734877414924656,0.0421257142857142,18.0,20.0,,0.0,-0.0984979069194779,0.01784447794076864,18.0,20.0,False,0.04029848604224665,0.009106177634870974,0.6,1.0,0.0,0.044562576209990004,0.2570495279136348,24
UBA6,-0.2943630770059438,0.2847682119205298,0.21053782991153594,0.05016,16.0,20.0,,0.0,-0.1677053824362606,0.05136299757601405,16.0,20.0,False,0.04890464148686492,0.016072056717911665,0.5333333333333333,1.0,0.0,0.1283045816759488,0.2559082385452304,25
PLK1,-3.617112745800988,0.9991721854304636,0.002994298630629872,0.2465371428571428,4.0,16.2226,2.42,1.0,-0.1676489849377865,0.05130660007753994,4.0,16.2226,False,0.0006955286900083171,0.18633478827393837,0.13333333333333333,0.81113,1.0,0.12816367928297678,0.2541867790533328,26
PDCD11,-1.761584456020616,0.995860927152318,0.007291326390813601,0.1026171428571428,15.0,20.0,,0.0,-0.1853207059836418,0.06897832112339526,15.0,20.0,False,0.0016936609599152992,0.06155340094430764,0.5,1.0,0.0,0.17231435707301876,0.25258983642491784,27
LIG3,-0.1224399768999232,0.0951986754966887,0.11078385327120535,0.0476228571428571,18.0,20.0,,0.0,-0.1466826538768985,0.004789471560484676,18.0,20.0,True,0.025733354566436932,0.013872305428530378,0.6,1.0,0.0,0.011946206884827764,0.25247900834273157,28
PNPLA6,0.0577549162235898,0.0240066225165562,0.056368415751334756,0.0721142857142857,17.0,20.0,,0.0,-0.131590806669671,0.015248421809424442,17.0,20.0,False,0.013093500415862937,0.03510684152377369,0.5666666666666667,1.0,0.0,0.03807664099844915,0.25136393463181345,29
VPS13C,-0.0025383676062963,0.0008278145695364,0.002536266308608969,0.0724114285714285,16.0,20.0,,0.0,-0.1920718816067653,0.07572949674651876,16.0,20.0,False,0.0005891349530383837,0.03536447005316063,0.5333333333333333,1.0,0.0,0.1891813605112843,0.25024514952742394,30
MYH7,0.0538162725014607,0.0049668874172185,0.05354897313473159,0.9520238095238096,1.0,0.0,,0.0,-0.1227763496143958,0.006433964754149257,1.0,0.0,False,0.012438588040183456,0.7980051955086761,0.03333333333333333,0.0,0.0,0.016054776103015526,0.24893587386980864,31
PNKP,-0.7381557625001336,0.4677152317880794,0.39290906894667715,0.0586857142857142,12.0,20.0,,0.0,-0.1495107632093933,0.03316837834914675,12.0,20.0,False,0.09126662491889916,0.023464013753399918,0.4,1.0,0.0,0.08284750542890575,0.248561566873135,32
TRIB1,0.1437844233178572,0.0256622516556291,0.14009459126251486,0.2311689814814814,0.0,17.905,0.52,1.0,-0.1316511245200219,0.015308739659775347,0.0,17.905,False,0.03254178008209236,0.17301029899405598,0.0,0.8952500000000001,1.0,0.038227337920889275,0.24786449061888896,33
CLIC3,0.0546120663365812,0.0,0.0546120663365812,0.3402189781021897,2.0,20.0,13.63,0.0,-0.146218487394958,0.029876102534711443,2.0,29.2219,False,0.012685527946068418,0.2675587277504729,0.06666666666666667,1.0,0.0,0.07462214875301068,0.24780438414661293,34
G6PD,0.1005360332286862,0.1092715231788079,0.08955030774343241,0.0831085714285714,15.0,20.0,,0.0,-0.1382419233658903,0.02189953850564376,15.0,20.0,False,0.02080113439504501,0.044639097111092416,0.5,1.0,0.0,0.0546936591958714,0.24736675241163478,35
